# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.51659028e-04  2.99459323e-05 -7.65436224e-06  1.18802000e+05       2.906e-05       2.885e-05          118802
        1.47620  1.74464414e-04  6.18352389e-05  7.57491950e-06  1.99365000e+05       2.267e-05       2.239e-05          199365
        1.91386  1.04277163e-04  2.07439158e-05  1.30172309e-06  3.33335000e+05       1.780e-05       1.744e-05          333335
        2.48126  1.02227775e-04  3.61260593e-05  3.89669189e-06  5.60434000e+05       1.406e-05       1.360e-05          560434
        3.21689  9.09327724e-05  2.14082082e-05 -5.66825877e-06  9.38186000e+05       1.127e-05       1.069e-05          938186
        4.17061  6.09886506e-05  3.24263375e-05 -1.93099985e-06  1.57103700e+06       9.179e-06       8.440e-06         1571037
        5.40709  4.60755361e-05  2.84839054e-05 -5.68342459e-07  2.62426200e+06       7.631e-06       6.711e-06         2624262
        7.01015  4.42357521e-05  2.81468487e-05 -3.13718317e-06  4.37721800e+06       6.467e-06       5.350e-06         4377218
        9.08847  3.12759812e-05  1.64597982e-05  2.98439135e-06  7.29518400e+06       5.607e-06       4.266e-06         7295184
       11.78296  3.17695164e-05  1.78142091e-05 -7.23546779e-08  1.21185010e+07       4.977e-06       3.392e-06        12118501
       15.27630  2.55651260e-05  1.20945468e-05  1.04021881e-06  2.00527680e+07       4.561e-06       2.693e-06        20052768
       19.80531  1.66589864e-05  1.25970720e-05  1.17189201e-06  3.30586790e+07       4.260e-06       2.131e-06        33058679
       25.67706  1.88149090e-05  8.28399403e-06  2.99848257e-07  5.40443190e+07       4.003e-06       1.684e-06        54044319
       33.28963  1.30127013e-05  8.81588756e-06 -5.88759124e-07  8.77394950e+07       4.054e-06       1.344e-06        87739495
       43.15912  1.05373380e-05  3.85554979e-06 -8.61772315e-07  1.40295098e+08       4.713e-06       1.064e-06       140295098
       55.95465  8.38495922e-06  4.54726442e-06 -7.77776921e-07  2.22845714e+08       4.688e-06       7.669e-07       222845714
       72.54372  9.42467334e-06  4.66208392e-06 -2.40553674e-07  3.40866534e+08       5.076e-06       6.610e-07       340866534
       94.05101  4.78843996e-06  1.72238195e-06  4.06680369e-07  5.07716593e+08       7.861e-06       5.631e-07       507716593
      121.93463  2.10561919e-06  1.77301892e-06 -3.85432370e-07  7.23515261e+08       9.222e-06       3.863e-07       723515261
      158.08501 -2.03243495e-06  2.03418456e-06 -7.60674718e-07  9.44844670e+08       1.096e-05       3.847e-07       944844670
