# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  6.44097184e-05 -2.16815423e-05 -1.92291975e-06  1.18642000e+05       2.868e-05       2.845e-05          118642
        1.47620  4.74537508e-05  1.12623429e-05  1.36589713e-05  1.99100000e+05       2.236e-05       2.207e-05          199100
        1.91386  3.89432540e-05  1.49078155e-05 -1.80982023e-06  3.32726000e+05       1.758e-05       1.720e-05          332726
        2.48126  3.69506655e-05  5.27954411e-06  1.55760033e-06  5.58799000e+05       1.390e-05       1.343e-05          558799
        3.21689  9.82170308e-06  6.75760193e-06 -1.09013644e-05  9.38058000e+05       1.112e-05       1.053e-05          938058
        4.17061  2.65691062e-05  1.67474473e-05  4.05061685e-06  1.57077500e+06       9.053e-06       8.317e-06         1570775
        5.40709  2.07817392e-05  2.64137962e-06 -1.28723814e-06  2.62518400e+06       7.525e-06       6.609e-06         2625184
        7.01015  2.31440580e-05  8.98129113e-06  4.48497871e-06  4.38444600e+06       6.374e-06       5.265e-06         4384446
        9.08847  2.72886195e-06  2.03560622e-06  9.73247656e-07  7.29176300e+06       5.526e-06       4.202e-06         7291763
       11.78296  5.59551595e-06  6.56764546e-06  7.43563720e-07  1.21169830e+07       4.911e-06       3.346e-06        12116983
       15.27630  2.96130488e-06  3.67395537e-06  1.55286829e-06  2.00476070e+07       4.496e-06       2.654e-06        20047607
       19.80531  5.32300014e-06  1.53356251e-06 -5.92937101e-07  3.30234040e+07       4.195e-06       2.100e-06        33023404
       25.67706  6.19624221e-07  2.60538915e-07  8.91744051e-07  5.39265830e+07       3.944e-06       1.662e-06        53926583
       33.28963 -8.83217728e-07  5.05173707e-06  2.06310548e-06  8.75387830e+07       4.006e-06       1.329e-06        87538783
       43.15912 -1.53718235e-06  4.14909273e-06  4.63900595e-07  1.39920960e+08       4.656e-06       1.053e-06       139920960
       55.95465 -1.25298243e-07  2.45289633e-06 -3.36986766e-07  2.22439620e+08       4.631e-06       7.591e-07       222439620
       72.54372 -7.70963759e-07  9.83720160e-07 -4.28424477e-07  3.40946877e+08       4.977e-06       6.518e-07       340946877
       94.05101 -4.17377325e-07  1.01426166e-06  5.20990020e-08  5.08268967e+08       7.707e-06       5.558e-07       508268967
      121.93463  2.92062303e-07  5.50332539e-07  1.84855066e-07  7.23763513e+08       9.076e-06       3.797e-07       723763513
      158.08501 -9.78449480e-09  6.14620617e-07  7.65773757e-08  9.44580989e+08       1.076e-05       3.781e-07       944580989
