# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  4.30658241e-05 -4.39465152e-05 -6.05892595e-06  1.18415000e+05       2.872e-05       2.850e-05          118415
        1.47620  4.26881962e-05 -1.84742547e-05  4.17703441e-06  1.99110000e+05       2.238e-05       2.209e-05          199110
        1.91386  2.48986017e-05 -1.93474458e-05  4.87640736e-06  3.34444000e+05       1.753e-05       1.717e-05          334444
        2.48126  2.50543931e-05  1.14489283e-05 -8.56206736e-06  5.60804000e+05       1.386e-05       1.340e-05          560804
        3.21689  2.43079235e-05 -9.98379741e-06 -6.01342787e-06  9.37975000e+05       1.112e-05       1.054e-05          937975
        4.17061  8.64389616e-06  1.17373220e-05 -2.66483761e-06  1.57118500e+06       9.034e-06       8.315e-06         1571185
        5.40709  1.79119058e-05  1.20637352e-05  2.50412261e-06  2.62854000e+06       7.490e-06       6.603e-06         2628540
        7.01015  1.32596689e-05  3.48566687e-06 -3.82766405e-07  4.38233200e+06       6.353e-06       5.267e-06         4382332
        9.08847  8.65481063e-06 -4.83995535e-07  1.80445243e-06  7.30389100e+06       5.499e-06       4.198e-06         7303891
       11.78296  9.29455763e-06  1.04678159e-05  1.94457268e-07  1.21270870e+07       4.879e-06       3.341e-06        12127087
       15.27630  8.03609978e-06  1.54353506e-06  1.75988732e-07  2.00769790e+07       4.482e-06       2.656e-06        20076979
       19.80531  8.14227268e-07  5.11628456e-06  2.43724643e-07  3.30754500e+07       4.188e-06       2.101e-06        33075450
       25.67706  3.67410370e-06  2.47564071e-06  7.78560494e-07  5.40276860e+07       3.932e-06       1.661e-06        54027686
       33.28963  3.32730208e-06  3.24967196e-06  2.39453766e-08  8.76785660e+07       3.977e-06       1.324e-06        87678566
       43.15912  1.86528467e-06  7.42093422e-08  8.29495049e-08  1.40042354e+08       4.630e-06       1.052e-06       140042354
       55.95465  1.79381150e-06  1.15888211e-06 -2.41428520e-07  2.22802490e+08       4.621e-06       7.590e-07       222802490
       72.54372  1.26758118e-06 -2.33561200e-07 -3.43505474e-07  3.41127599e+08       4.959e-06       6.507e-07       341127599
       94.05101  1.76785677e-08 -3.15033267e-09 -1.75404364e-07  5.08331318e+08       7.728e-06       5.559e-07       508331318
      121.93463 -2.72297099e-07  7.64872059e-07 -1.00894752e-07  7.24271301e+08       9.098e-06       3.800e-07       724271301
      158.08501 -6.68394432e-07  5.83920747e-07 -3.34422549e-07  9.44876109e+08       1.084e-05       3.800e-07       944876109
