# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.33023650e-04 -7.67766316e-07 -1.84570580e-05  1.19550000e+05       2.896e-05       2.875e-05          119550
        1.47620  1.55698813e-04  4.92501581e-05 -5.27637388e-06  1.99547000e+05       2.264e-05       2.237e-05          199547
        1.91386  1.39189514e-04  4.31437959e-05  1.95805230e-06  3.33535000e+05       1.779e-05       1.743e-05          333535
        2.48126  1.23905725e-04  2.86976463e-05 -1.63082085e-07  5.59600000e+05       1.407e-05       1.361e-05          559600
        3.21689  8.87237672e-05  2.65402607e-05 -1.38643219e-06  9.36969000e+05       1.127e-05       1.069e-05          936969
        4.17061  7.40712349e-05  2.97435801e-05  1.13954130e-06  1.56983400e+06       9.183e-06       8.443e-06         1569834
        5.40709  4.91504396e-05  2.70712895e-05  1.03595875e-06  2.62614100e+06       7.622e-06       6.705e-06         2626141
        7.01015  4.68088737e-05  2.96224356e-05 -1.37987330e-06  4.38143300e+06       6.470e-06       5.346e-06         4381433
        9.08847  3.96196679e-05  1.90196183e-05  1.05137768e-07  7.30375300e+06       5.595e-06       4.259e-06         7303753
       11.78296  2.89397731e-05  1.84137402e-05  1.58134377e-06  1.21294520e+07       4.970e-06       3.391e-06        12129452
       15.27630  2.83740946e-05  1.87462617e-05 -1.23344607e-06  2.00783290e+07       4.550e-06       2.692e-06        20078329
       19.80531  2.42690830e-05  1.16558763e-05  3.71589872e-06  3.30882000e+07       4.256e-06       2.133e-06        33088200
       25.67706  1.50272081e-05  9.22201940e-06  1.92957712e-06  5.40606710e+07       4.017e-06       1.687e-06        54060671
       33.28963  1.47109729e-05  9.50575250e-06  7.41708101e-07  8.77193580e+07       4.075e-06       1.348e-06        87719358
       43.15912  1.11406559e-05  6.33751839e-06 -3.33258295e-08  1.40136595e+08       4.737e-06       1.068e-06       140136595
       55.95465  8.75808560e-06  5.91731111e-06 -1.50058642e-06  2.22537766e+08       4.700e-06       7.694e-07       222537766
       72.54372  7.06025228e-06  2.70671696e-06 -3.11976097e-07  3.40196703e+08       5.058e-06       6.599e-07       340196703
       94.05101  2.54658213e-06  2.03186929e-06  4.72285082e-07  5.06302813e+08       7.891e-06       5.647e-07       506302813
      121.93463 -3.28790249e-06  2.16304589e-06 -3.90514608e-07  7.21536313e+08       9.230e-06       3.862e-07       721536313
      158.08501 -5.51687990e-06  3.81450085e-06  3.84638956e-07  9.43312661e+08       1.101e-05       3.868e-07       943312661
