# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.09797952e-04 -5.95123818e-06  5.48409227e-06  2.37974000e+05       2.899e-05       2.875e-05          237974
        1.47620  9.94993381e-05  5.23944743e-05  4.38969406e-06  3.98272000e+05       2.261e-05       2.231e-05          398272
        1.91386  7.17292387e-05  6.37869527e-05 -6.77733501e-06  6.70592000e+05       1.768e-05       1.732e-05          670592
        2.48126  6.46626634e-05  4.20119810e-05 -8.44824508e-06  1.12395200e+06       1.399e-05       1.353e-05         1123952
        3.21689  4.90409989e-05  1.37081334e-05  3.68628901e-06  1.87717400e+06       1.124e-05       1.065e-05         1877174
        4.17061  3.23413796e-05  1.56461218e-05  6.05731417e-07  3.14619600e+06       9.154e-06       8.408e-06         3146196
        5.40709  2.55495301e-05  9.13465786e-06  1.16970426e-06  5.25751200e+06       7.596e-06       6.677e-06         5257512
        7.01015  2.51302806e-05  7.12474161e-06 -1.09066280e-06  8.77455400e+06       6.443e-06       5.322e-06         8774554
        9.08847  1.58790572e-05  6.22472548e-06 -2.04405681e-07  1.45949820e+07       5.579e-06       4.244e-06        14594982
       11.78296  1.09286827e-05  5.23767017e-06  7.38988967e-07  2.42491300e+07       4.950e-06       3.379e-06        24249130
       15.27630  1.41577978e-05  1.18302888e-05 -1.46203093e-06  4.00989680e+07       4.535e-06       2.682e-06        40098968
       19.80531  9.01858425e-06  7.07999688e-06  3.18366394e-07  6.60964640e+07       4.238e-06       2.120e-06        66096464
       25.67706  6.13967717e-06  3.60589796e-06  1.95904623e-06  1.07984802e+08       3.974e-06       1.674e-06       107984802
       33.28963  5.09965778e-06  2.29540114e-06 -5.53831057e-07  1.75304166e+08       4.020e-06       1.338e-06       175304166
       43.15912  4.07982927e-06  3.42905292e-06 -3.36838188e-07  2.80159006e+08       4.699e-06       1.063e-06       280159006
       55.95465  2.48896960e-06  3.17893405e-06 -6.06036192e-07  4.45767756e+08       4.676e-06       7.658e-07       445767756
       72.54372  1.38704511e-06  4.26644858e-06  5.26186188e-08  6.83885626e+08       5.025e-06       6.562e-07       683885626
       94.05101  2.39356036e-06  1.70387820e-06  6.36167780e-07  1.02123094e+09       7.794e-06       5.590e-07      1021230940
      121.93463 -7.17446947e-07 -9.17729722e-07  1.24809207e-07  1.45515286e+09       9.202e-06       3.836e-07      1455152864
      158.08501 -1.56835257e-06  1.68302048e-06 -3.07361046e-07  1.89489661e+09       1.099e-05       3.852e-07      1894896614
