# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  3.03426518e-04  1.03146153e-05  2.24287068e-05  1.18887000e+05       2.920e-05       2.898e-05          118887
        1.47620  1.97579227e-04  4.62263573e-05 -8.90096199e-07  1.99167000e+05       2.279e-05       2.250e-05          199167
        1.91386  1.36628354e-04  1.35558779e-05  1.65608809e-05  3.34221000e+05       1.786e-05       1.750e-05          334221
        2.48126  1.23363990e-04  4.36288025e-05 -6.03852810e-06  5.60172000e+05       1.412e-05       1.366e-05          560172
        3.21689  1.07633648e-04  3.17283747e-05  5.80501242e-06  9.37884000e+05       1.131e-05       1.073e-05          937884
        4.17061  7.04116033e-05  2.17771535e-05  4.92034811e-06  1.57011000e+06       9.212e-06       8.476e-06         1570110
        5.40709  6.03218956e-05  2.98231525e-05  9.77179228e-07  2.62705400e+06       7.652e-06       6.732e-06         2627054
        7.01015  4.38321712e-05  2.05121689e-05 -1.67586067e-06  4.37588600e+06       6.502e-06       5.376e-06         4375886
        9.08847  3.06227039e-05  1.88151440e-05 -2.07376783e-06  7.29606200e+06       5.630e-06       4.286e-06         7296062
       11.78296  2.65010478e-05  2.43058329e-05  4.78813323e-07  1.21140100e+07       4.995e-06       3.413e-06        12114010
       15.27630  1.81931598e-05  1.51985838e-05 -1.28930656e-06  2.00380480e+07       4.580e-06       2.711e-06        20038048
       19.80531  1.60404294e-05  1.74339695e-05  6.49279204e-07  3.30322450e+07       4.282e-06       2.144e-06        33032245
       25.67706  1.57471385e-05  1.30315696e-05 -1.29247454e-07  5.39818790e+07       4.016e-06       1.691e-06        53981879
       33.28963  4.81473399e-06  7.77718059e-06 -1.36392071e-06  8.76419290e+07       4.054e-06       1.348e-06        87641929
       43.15912  3.27016366e-06  5.51098043e-06  1.11315019e-07  1.40045765e+08       4.716e-06       1.071e-06       140045765
       55.95465  2.60842440e-06  6.37789907e-06  2.51208533e-07  2.22711874e+08       4.706e-06       7.714e-07       222711874
       72.54372 -5.93901790e-07  5.19612703e-06  4.98560524e-07  3.41294913e+08       5.066e-06       6.616e-07       341294913
       94.05101  7.08774874e-07  4.52558316e-06 -1.17182676e-07  5.08886032e+08       7.897e-06       5.664e-07       508886032
      121.93463 -2.58119808e-06  1.50359237e-06  1.12259422e-07  7.25513559e+08       9.272e-06       3.865e-07       725513559
      158.08501 -3.91382071e-06  9.77211189e-07  1.73752605e-07  9.45810846e+08       1.100e-05       3.863e-07       945810846
