# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  5.92876019e-05  2.22219957e-05 -2.20915298e-05  1.18364000e+05       2.849e-05       2.827e-05          118364
        1.47620  1.90059605e-05 -8.30825713e-06  4.05146843e-06  1.99765000e+05       2.215e-05       2.186e-05          199765
        1.91386  4.71105509e-05  1.14414260e-05  9.32250309e-06  3.35492000e+05       1.735e-05       1.699e-05          335492
        2.48126  2.83227356e-05  1.39639884e-05 -1.29500836e-06  5.61349000e+05       1.375e-05       1.329e-05          561349
        3.21689  3.50244702e-05  1.25025954e-05 -4.30142957e-06  9.37253000e+05       1.104e-05       1.046e-05          937253
        4.17061  1.80311305e-05  1.01539402e-05 -2.53807866e-06  1.56938300e+06       8.995e-06       8.262e-06         1569383
        5.40709  1.01274433e-05  9.93342831e-06 -5.22785566e-06  2.62688300e+06       7.476e-06       6.564e-06         2626883
        7.01015  1.33123879e-05  2.20651461e-06 -1.78185004e-06  4.38629400e+06       6.344e-06       5.231e-06         4386294
        9.08847  7.09249819e-06  9.49979542e-06 -1.95169639e-06  7.30513500e+06       5.490e-06       4.170e-06         7305135
       11.78296  5.52907610e-06  7.53973237e-06  1.88061460e-07  1.21377210e+07       4.868e-06       3.318e-06        12137721
       15.27630  5.29758197e-06  4.13524186e-06  7.29360671e-07  2.00880240e+07       4.462e-06       2.633e-06        20088024
       19.80531  4.33318471e-06 -1.74575831e-06 -3.47293638e-07  3.30998030e+07       4.176e-06       2.084e-06        33099803
       25.67706  6.64517387e-07  2.93265659e-06  8.76146758e-07  5.41179820e+07       3.916e-06       1.646e-06        54117982
       33.28963  2.66059162e-06  2.41168001e-06  7.75902291e-08  8.79153730e+07       3.958e-06       1.311e-06        87915373
       43.15912  1.29634326e-06  7.14430975e-07  2.70968697e-07  1.40566835e+08       4.607e-06       1.041e-06       140566835
       55.95465 -2.95556034e-07  5.13844532e-07 -7.65758243e-07  2.23488739e+08       4.594e-06       7.512e-07       223488739
       72.54372 -2.57036409e-07  1.02196087e-06 -5.93408920e-08  3.41925759e+08       4.948e-06       6.442e-07       341925759
       94.05101  2.19953463e-07  1.66644336e-06  4.00078075e-08  5.09220477e+08       7.682e-06       5.495e-07       509220477
      121.93463 -7.31627399e-09  7.73898133e-09 -6.51437778e-08  7.25137129e+08       9.030e-06       3.771e-07       725137129
      158.08501 -4.24401142e-08 -9.66271721e-08  3.83163197e-08  9.45982493e+08       1.076e-05       3.773e-07       945982493
