# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.33289603e-04 -1.31509082e-05  3.63081745e-05  1.19079000e+05       2.909e-05       2.887e-05          119079
        1.47620  1.84963061e-04  6.52021912e-06  6.98031241e-06  1.98678000e+05       2.273e-05       2.245e-05          198678
        1.91386  1.28406883e-04  4.46484208e-05 -2.21914455e-06  3.33665000e+05       1.780e-05       1.745e-05          333665
        2.48126  1.43161431e-04  4.91352807e-05 -1.03613626e-05  5.60641000e+05       1.406e-05       1.361e-05          560641
        3.21689  1.01603780e-04  2.10619312e-05  2.74097189e-06  9.36936000e+05       1.128e-05       1.070e-05          936936
        4.17061  6.43691181e-05  3.82782216e-05 -3.43066011e-07  1.56998600e+06       9.176e-06       8.451e-06         1569986
        5.40709  5.95496624e-05  4.00533980e-05 -2.61658687e-06  2.62752300e+06       7.632e-06       6.717e-06         2627523
        7.01015  4.56890101e-05  3.01712268e-05  1.02899446e-06  4.38876200e+06       6.477e-06       5.351e-06         4388762
        9.08847  3.48891193e-05  2.94451652e-05 -1.55376368e-06  7.30236000e+06       5.605e-06       4.268e-06         7302360
       11.78296  3.45625437e-05  2.20721184e-05 -2.53141717e-06  1.21361370e+07       4.974e-06       3.395e-06        12136137
       15.27630  2.71891701e-05  1.82282600e-05 -4.35185019e-07  2.00736570e+07       4.555e-06       2.693e-06        20073657
       19.80531  1.63760443e-05  9.50495391e-06  1.31399103e-06  3.31133650e+07       4.257e-06       2.129e-06        33113365
       25.67706  1.21563874e-05  1.04162002e-05  3.49056968e-08  5.40981750e+07       3.996e-06       1.680e-06        54098175
       33.28963  5.91424617e-06  7.36630586e-06 -1.42927272e-07  8.77748920e+07       4.049e-06       1.344e-06        87774892
       43.15912  3.96217407e-06  8.25043939e-06  5.30739659e-07  1.40253528e+08       4.714e-06       1.064e-06       140253528
       55.95465  5.30992531e-06  8.09811520e-06 -7.67197814e-07  2.22801896e+08       4.694e-06       7.685e-07       222801896
       72.54372  5.37638750e-06  4.55150972e-06 -1.62194297e-07  3.40845713e+08       5.071e-06       6.615e-07       340845713
       94.05101  1.52948793e-06  2.88387068e-06 -8.87480722e-07  5.07557613e+08       7.850e-06       5.640e-07       507557613
      121.93463 -1.32990640e-06  2.43042150e-06 -8.00720817e-07  7.22980578e+08       9.231e-06       3.862e-07       722980578
      158.08501 -3.69617003e-06  4.32894659e-06 -4.43245279e-07  9.44561994e+08       1.107e-05       3.872e-07       944561994
