# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  6.71219356e-05 -3.45359637e-05  4.33518822e-06  1.18570000e+05       2.855e-05       2.832e-05          118570
        1.47620  7.37244111e-05  1.64880120e-05  4.16634370e-06  1.99804000e+05       2.218e-05       2.191e-05          199804
        1.91386  2.68396390e-05  2.55050793e-06  7.10318579e-06  3.34818000e+05       1.742e-05       1.706e-05          334818
        2.48126  2.35371257e-05 -2.82144561e-06 -1.55372450e-06  5.60764000e+05       1.377e-05       1.332e-05          560764
        3.21689  3.16914370e-05  8.93672852e-06 -6.56064338e-06  9.39636000e+05       1.103e-05       1.046e-05          939636
        4.17061  7.62077464e-06 -2.51104916e-07 -5.30181156e-06  1.57243200e+06       8.982e-06       8.264e-06         1572432
        5.40709  2.10714027e-05  1.88660517e-05  3.53006568e-06  2.62903400e+06       7.448e-06       6.561e-06         2629034
        7.01015  1.12736575e-05 -1.73802363e-06  1.97007727e-06  4.38616400e+06       6.316e-06       5.234e-06         4386164
        9.08847  1.16461393e-05  4.39228989e-06 -6.88975259e-08  7.31183600e+06       5.470e-06       4.172e-06         7311836
       11.78296  9.38461857e-06  3.84338470e-06 -1.29840998e-06  1.21380340e+07       4.865e-06       3.322e-06        12138034
       15.27630  6.30863908e-06  2.25199226e-06  9.69999892e-07  2.00941080e+07       4.455e-06       2.636e-06        20094108
       19.80531  1.05863378e-05  2.52261203e-06  3.56830919e-07  3.31384310e+07       4.163e-06       2.083e-06        33138431
       25.67706  4.64036122e-06 -3.92604784e-07  1.74312520e-08  5.41429370e+07       3.912e-06       1.646e-06        54142937
       33.28963  5.22973522e-06  2.95138157e-06 -6.10751848e-07  8.79676690e+07       3.960e-06       1.313e-06        87967669
       43.15912  4.38808351e-06  2.00376028e-06 -6.77770209e-07  1.40705529e+08       4.606e-06       1.043e-06       140705529
       55.95465  1.34890739e-06  1.77650036e-06  2.24223528e-07  2.23777633e+08       4.592e-06       7.522e-07       223777633
       72.54372  4.10771887e-08  1.30862452e-06 -8.54714047e-07  3.42465822e+08       4.930e-06       6.457e-07       342465822
       94.05101  4.31716315e-07  1.79770525e-06 -5.23272553e-07  5.10790450e+08       7.624e-06       5.511e-07       510790450
      121.93463 -1.68877681e-07  5.39813977e-07 -4.52279052e-07  7.27552091e+08       9.038e-06       3.776e-07       727552091
      158.08501 -1.01756254e-06 -7.53153152e-07 -1.25128404e-07  9.47657996e+08       1.078e-05       3.773e-07       947657996
