# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.45128525e-04  3.42624855e-06 -9.25694520e-06  1.18661000e+05       2.943e-05       2.921e-05          118661
        1.47620  2.12319564e-04  2.58941000e-05 -1.41692784e-05  1.98860000e+05       2.296e-05       2.267e-05          198860
        1.91386  1.53154093e-04  2.12977124e-05  6.63779397e-06  3.34261000e+05       1.799e-05       1.762e-05          334261
        2.48126  1.26514225e-04  5.28563159e-05  4.60020564e-06  5.59926000e+05       1.423e-05       1.377e-05          559926
        3.21689  1.12878262e-04  2.91877880e-05  2.32261099e-06  9.38079000e+05       1.140e-05       1.081e-05          938079
        4.17061  9.23469442e-05  2.43958653e-05  2.43744111e-06  1.57208400e+06       9.276e-06       8.536e-06         1572084
        5.40709  6.40393582e-05  3.06875034e-05 -3.67859081e-06  2.62586100e+06       7.713e-06       6.787e-06         2625861
        7.01015  5.53873683e-05  2.82785944e-05  2.56833133e-06  4.38445600e+06       6.546e-06       5.414e-06         4384456
        9.08847  4.31402573e-05  2.80550982e-05 -1.96807816e-06  7.30218100e+06       5.677e-06       4.319e-06         7302181
       11.78296  3.12451294e-05  2.11156337e-05  2.38275670e-07  1.21247830e+07       5.035e-06       3.434e-06        12124783
       15.27630  2.87528931e-05  1.68310664e-05  1.44831634e-07  2.00699860e+07       4.598e-06       2.722e-06        20069986
       19.80531  1.79531108e-05  1.22860370e-05 -1.19137848e-06  3.30811950e+07       4.299e-06       2.156e-06        33081195
       25.67706  1.53773037e-05  1.34565653e-05 -1.95830366e-07  5.40413740e+07       4.031e-06       1.700e-06        54041374
       33.28963  7.87220598e-06  1.13020450e-05  3.92581294e-07  8.77686840e+07       4.086e-06       1.359e-06        87768684
       43.15912  7.13203715e-06  8.57550102e-06  5.17423244e-07  1.40230826e+08       4.769e-06       1.080e-06       140230826
       55.95465  5.38727604e-06  8.89917435e-06  6.78070560e-07  2.22966926e+08       4.738e-06       7.774e-07       222966926
       72.54372  5.86214802e-06  5.31807890e-06  5.93351151e-07  3.41766129e+08       5.102e-06       6.670e-07       341766129
       94.05101  3.96520285e-06  8.32591196e-07 -5.40490338e-07  5.09378363e+08       7.910e-06       5.669e-07       509378363
      121.93463 -3.18430236e-06  2.28697616e-06  1.27545118e-07  7.25526213e+08       9.328e-06       3.897e-07       725526213
      158.08501 -4.00828981e-06  2.90357510e-06  1.19173927e-07  9.45378237e+08       1.108e-05       3.891e-07       945378237
