# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.37072914e-04  4.89166118e-05  1.57536188e-05  1.19266000e+05       2.921e-05       2.899e-05          119266
        1.47620  1.43121347e-04  3.17414579e-05  6.46404663e-06  1.98850000e+05       2.286e-05       2.256e-05          198850
        1.91386  1.62485160e-04  4.49765117e-05 -8.88824494e-06  3.34341000e+05       1.789e-05       1.752e-05          334341
        2.48126  1.31151772e-04  4.97052339e-05  1.58656937e-06  5.60194000e+05       1.416e-05       1.369e-05          560194
        3.21689  1.01792064e-04  4.43769365e-05 -2.50714442e-06  9.37725000e+05       1.135e-05       1.076e-05          937725
        4.17061  6.58012198e-05  3.61291175e-05 -5.41504472e-06  1.56914900e+06       9.238e-06       8.496e-06         1569149
        5.40709  5.28675563e-05  2.81180327e-05 -3.29703882e-06  2.62749700e+06       7.670e-06       6.746e-06         2627497
        7.01015  3.90924482e-05  2.55669511e-05  1.29986036e-06  4.38116200e+06       6.501e-06       5.380e-06         4381162
        9.08847  3.78870499e-05  2.73887820e-05 -2.66652063e-06  7.29459200e+06       5.627e-06       4.290e-06         7294592
       11.78296  3.06088714e-05  1.69715072e-05 -1.02561539e-06  1.21130750e+07       5.000e-06       3.413e-06        12113075
       15.27630  2.09716344e-05  1.64331593e-05 -1.17932226e-06  2.00393630e+07       4.575e-06       2.708e-06        20039363
       19.80531  2.19831206e-05  1.28966975e-05 -5.11502218e-07  3.30419490e+07       4.282e-06       2.144e-06        33041949
       25.67706  1.32533595e-05  8.32454890e-06 -2.47146604e-07  5.40513330e+07       4.021e-06       1.692e-06        54051333
       33.28963  9.22802097e-06  6.59339815e-06 -8.41463205e-07  8.78042070e+07       4.078e-06       1.351e-06        87804207
       43.15912  1.42024865e-06  4.15001376e-06 -7.17817809e-07  1.40379214e+08       4.749e-06       1.072e-06       140379214
       55.95465  5.13356077e-06  7.45613923e-06 -7.38680120e-07  2.23257512e+08       4.727e-06       7.743e-07       223257512
       72.54372  1.98145929e-06  4.77239393e-06 -1.07983427e-07  3.41581281e+08       5.068e-06       6.636e-07       341581281
       94.05101 -2.57951314e-06  3.84007780e-06 -2.64402983e-07  5.08563795e+08       7.897e-06       5.674e-07       508563795
      121.93463 -1.78571219e-06  4.97357818e-06 -4.89440369e-07  7.25554345e+08       9.284e-06       3.881e-07       725554345
      158.08501 -2.32018345e-06  2.70757751e-06 -2.57303943e-08  9.45278278e+08       1.102e-05       3.868e-07       945278278
