# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.33553804e-04 -2.48877182e-05  3.00288198e-06  1.18570000e+05       2.920e-05       2.897e-05          118570
        1.47620  2.14956359e-04  3.92236611e-05  5.38132266e-06  1.99804000e+05       2.269e-05       2.241e-05          199804
        1.91386  1.29555698e-04  2.48713989e-05  4.38471441e-06  3.34818000e+05       1.782e-05       1.745e-05          334818
        2.48126  1.10184680e-04  2.48389901e-05 -2.88339238e-06  5.60764000e+05       1.408e-05       1.363e-05          560764
        3.21689  1.01749835e-04  3.80950351e-05 -4.97455424e-06  9.39636000e+05       1.128e-05       1.070e-05          939636
        4.17061  6.64865624e-05  2.48716184e-05 -4.86274555e-06  1.57243200e+06       9.187e-06       8.452e-06         1572432
        5.40709  7.15079012e-05  3.95421094e-05  4.27740125e-06  2.62903400e+06       7.619e-06       6.711e-06         2629034
        7.01015  5.25703743e-05  1.50991582e-05  2.13477330e-06  4.38616400e+06       6.461e-06       5.354e-06         4386164
        9.08847  4.72913054e-05  1.94242832e-05  3.30668216e-07  7.31183600e+06       5.595e-06       4.267e-06         7311836
       11.78296  3.31116244e-05  1.35416518e-05 -4.03372977e-07  1.21380340e+07       4.976e-06       3.398e-06        12138034
       15.27630  2.58520231e-05  1.27159243e-05  1.58321872e-06  2.00941080e+07       4.557e-06       2.696e-06        20094108
       19.80531  2.76291172e-05  1.14587537e-05  1.02075477e-06  3.31384310e+07       4.258e-06       2.131e-06        33138431
       25.67706  1.90515180e-05  7.02162538e-06 -2.69581153e-07  5.41429370e+07       4.001e-06       1.684e-06        54142937
       33.28963  1.66177141e-05  7.47871329e-06 -1.03866484e-06  8.79676690e+07       4.050e-06       1.343e-06        87967669
       43.15912  1.24086690e-05  5.74390919e-06 -1.24013329e-06  1.40705529e+08       4.712e-06       1.066e-06       140705529
       55.95465  6.05190467e-06  4.58242404e-06  6.03265504e-08  2.23777633e+08       4.697e-06       7.694e-07       223777633
       72.54372  4.96035976e-07  4.32435834e-06 -7.24239916e-07  3.42465822e+08       5.043e-06       6.605e-07       342465822
       94.05101 -1.07008533e-06  5.76685702e-06 -9.17281453e-07  5.10790450e+08       7.798e-06       5.637e-07       510790450
      121.93463 -4.59806110e-06  3.41971437e-06 -9.19714374e-07  7.27552091e+08       9.244e-06       3.862e-07       727552091
      158.08501 -4.06289649e-06  3.43243979e-06 -4.18902433e-07  9.47657996e+08       1.102e-05       3.859e-07       947657996
