# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.77181460e-04  5.19808285e-06  6.48721421e-06  1.18089000e+05       2.944e-05       2.920e-05          118089
        1.47620  1.76980761e-04  3.53915833e-05  1.76622475e-05  1.99534000e+05       2.286e-05       2.257e-05          199534
        1.91386  1.59088050e-04 -1.46673276e-05  1.14024754e-05  3.34522000e+05       1.792e-05       1.756e-05          334522
        2.48126  9.69152568e-05  2.04443431e-05  8.30386273e-06  5.59939000e+05       1.420e-05       1.373e-05          559939
        3.21689  7.60880118e-05  3.44069550e-05 -5.33125881e-06  9.37653000e+05       1.136e-05       1.077e-05          937653
        4.17061  6.14810294e-05  3.17260069e-05  4.79676176e-06  1.57277700e+06       9.233e-06       8.500e-06         1572777
        5.40709  4.67203753e-05  3.04900295e-05  5.77870527e-06  2.62687300e+06       7.671e-06       6.759e-06         2626873
        7.01015  3.90748542e-05  2.33298634e-05 -2.73360939e-06  4.38801400e+06       6.513e-06       5.389e-06         4388014
        9.08847  3.55218986e-05  2.19775731e-05 -2.95392377e-06  7.30084700e+06       5.643e-06       4.301e-06         7300847
       11.78296  2.82214079e-05  1.31719401e-05 -2.90020801e-06  1.21264030e+07       5.018e-06       3.425e-06        12126403
       15.27630  2.80229284e-05  1.09577161e-05 -1.04849221e-06  2.00714680e+07       4.592e-06       2.716e-06        20071468
       19.80531  1.98566426e-05  1.18288588e-05 -1.28032645e-07  3.30909500e+07       4.300e-06       2.151e-06        33090950
       25.67706  1.36924290e-05  8.61009571e-06  1.03100000e-06  5.40744740e+07       4.035e-06       1.697e-06        54074474
       33.28963  9.51080559e-06  8.43377252e-06  5.82141894e-07  8.77953960e+07       4.072e-06       1.352e-06        87795396
       43.15912  2.97349972e-06  6.37602856e-06 -4.42035750e-07  1.40281275e+08       4.749e-06       1.077e-06       140281275
       55.95465 -3.19790763e-06  5.90904273e-06 -6.55444235e-07  2.22788149e+08       4.737e-06       7.762e-07       222788149
       72.54372 -2.36449544e-06  7.29817438e-06 -2.19453293e-07  3.40889890e+08       5.078e-06       6.660e-07       340889890
       94.05101  2.31643183e-07  6.39789932e-06  1.09546492e-06  5.08196923e+08       7.879e-06       5.672e-07       508196923
      121.93463 -3.85966480e-07  2.44499590e-06  5.80946358e-07  7.24797696e+08       9.308e-06       3.890e-07       724797696
      158.08501 -1.89729436e-06  9.26041347e-07  1.13661703e-06  9.45414651e+08       1.102e-05       3.879e-07       945414651
