# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  6.64851853e-05 -5.80436044e-06  2.87208668e-06  2.36178000e+05       2.913e-05       2.890e-05          236178
        1.47620  8.75996611e-05  1.71985240e-05  1.70765162e-05  3.99068000e+05       2.263e-05       2.234e-05          399068
        1.91386  8.72777334e-05 -3.46055070e-05  1.17982553e-05  6.69044000e+05       1.774e-05       1.738e-05          669044
        2.48126  4.00396636e-05 -1.13341725e-06  7.36925970e-06  1.11987800e+06       1.405e-05       1.359e-05         1119878
        3.21689  3.17994891e-05  1.31693208e-05 -5.08532497e-06  1.87530600e+06       1.124e-05       1.066e-05         1875306
        4.17061  2.69399944e-05  1.30842122e-05  4.52923135e-06  3.14555400e+06       9.136e-06       8.411e-06         3145554
        5.40709  1.93003608e-05  1.43123323e-05  5.83997714e-06  5.25374600e+06       7.590e-06       6.688e-06         5253746
        7.01015  1.71908578e-05  9.72915092e-06 -2.28339241e-06  8.77602800e+06       6.445e-06       5.333e-06         8776028
        9.08847  1.71998882e-05  9.76127150e-06 -2.62230081e-06  1.46016940e+07       5.584e-06       4.256e-06        14601694
       11.78296  1.23215174e-05  3.64013487e-06 -2.46737398e-06  2.42528060e+07       4.965e-06       3.389e-06        24252806
       15.27630  1.52601737e-05  4.31665866e-06 -1.14388389e-06  4.01429360e+07       4.544e-06       2.687e-06        40142936
       19.80531  1.06902244e-05  6.85420850e-06 -2.62199326e-07  6.61819000e+07       4.255e-06       2.128e-06        66181900
       25.67706  8.40012506e-06  4.13288687e-06  7.98981102e-07  1.08148948e+08       3.992e-06       1.679e-06       108148948
       33.28963  6.82589625e-06  4.14700268e-06  4.07799434e-07  1.75590792e+08       4.029e-06       1.338e-06       175590792
       43.15912  4.00683198e-06  2.61323003e-06 -1.54528304e-07  2.80562550e+08       4.700e-06       1.066e-06       280562550
       55.95465 -6.77180515e-08  1.56103500e-06 -3.91666038e-07  4.45576298e+08       4.688e-06       7.681e-07       445576298
       72.54372  1.50929158e-07  2.54319099e-06 -6.01397158e-08  6.81779780e+08       5.025e-06       6.590e-07       681779780
       94.05101  4.68284587e-08  2.71221083e-06  7.31580739e-07  1.01639385e+09       7.797e-06       5.612e-07      1016393846
      121.93463 -4.71882965e-07  1.77172310e-06  3.26318188e-07  1.44959539e+09       9.211e-06       3.849e-07      1449595392
      158.08501 -1.29392558e-06  1.11061590e-06  6.45415949e-07  1.89082930e+09       1.091e-05       3.838e-07      1890829302
