# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  6.69617503e-05 -1.60604129e-05 -3.86319939e-06  1.18661000e+05       2.874e-05       2.852e-05          118661
        1.47620  7.08877398e-05 -8.17577181e-07 -1.25883379e-05  1.98860000e+05       2.242e-05       2.214e-05          198860
        1.91386  3.97350444e-05 -1.90245253e-06  8.24914200e-06  3.34261000e+05       1.756e-05       1.720e-05          334261
        2.48126  2.74357139e-05  2.24058879e-05  4.99642530e-06  5.59926000e+05       1.390e-05       1.344e-05          559926
        3.21689  3.26608926e-05  1.15760334e-07  3.48730321e-06  9.38079000e+05       1.113e-05       1.056e-05          938079
        4.17061  2.93834771e-05 -3.76463177e-07  3.40736255e-06  1.57208400e+06       9.056e-06       8.334e-06         1572084
        5.40709  1.55377400e-05  5.87255006e-06 -3.07566720e-06  2.62586100e+06       7.530e-06       6.626e-06         2625861
        7.01015  1.43629130e-05  6.82060166e-06  1.82006663e-06  4.38445600e+06       6.391e-06       5.285e-06         4384456
        9.08847  9.94530603e-06  1.03601571e-05 -2.43074755e-06  7.30218100e+06       5.543e-06       4.216e-06         7302181
       11.78296  6.23545504e-06  6.95765404e-06  4.81736179e-07  1.21247830e+07       4.916e-06       3.353e-06        12124783
       15.27630  9.63804656e-06  3.76863763e-06 -1.11022388e-07  2.00699860e+07       4.489e-06       2.658e-06        20069986
       19.80531  3.47395840e-06  6.40531212e-07 -4.17854115e-07  3.30811950e+07       4.197e-06       2.105e-06        33081195
       25.67706  3.25077555e-06  4.33167603e-06 -1.82212073e-07  5.40413740e+07       3.936e-06       1.660e-06        54041374
       33.28963  1.42149491e-06  4.99816597e-06  1.71350612e-07  8.77686840e+07       3.990e-06       1.326e-06        87768684
       43.15912  3.52746875e-06  2.93186407e-06  5.74236941e-07  1.40230826e+08       4.656e-06       1.054e-06       140230826
       55.95465  4.96502590e-07  2.67372571e-06  3.83449331e-07  2.22966926e+08       4.626e-06       7.590e-07       222966926
       72.54372  7.90535363e-07  1.94656260e-06  4.45031298e-08  3.41766129e+08       4.981e-06       6.512e-07       341766129
       94.05101  1.36398070e-06  1.56638069e-07 -2.63065698e-07  5.09378363e+08       7.723e-06       5.535e-07       509378363
      121.93463 -4.41389283e-07  6.11986574e-07  1.60049951e-07  7.25526213e+08       9.107e-06       3.805e-07       725526213
      158.08501 -2.54540579e-07  3.97416424e-07  1.39869724e-07  9.45378237e+08       1.082e-05       3.799e-07       945378237
