# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.74496880e-04  2.23232078e-05  3.31886497e-05  2.38444000e+05       2.872e-05       2.850e-05          238444
        1.47620  5.60648958e-05 -1.47359450e-05  3.36573140e-05  3.96510000e+05       2.246e-05       2.219e-05          396510
        1.91386  5.88857720e-05 -2.31402045e-05 -1.04872739e-06  6.66658000e+05       1.761e-05       1.725e-05          666658
        2.48126  3.74286019e-05 -6.28509178e-06  4.94213506e-06  1.12261800e+06       1.391e-05       1.345e-05         1122618
        3.21689  5.13254941e-05  1.92611125e-05 -3.52863675e-08  1.87443600e+06       1.114e-05       1.057e-05         1874436
        4.17061  3.43783899e-05  2.91274061e-05  6.97475911e-06  3.13798000e+06       9.065e-06       8.348e-06         3137980
        5.40709  2.20644689e-05  2.05093060e-05 -1.02220258e-06  5.25202800e+06       7.536e-06       6.635e-06         5252028
        7.01015  2.18882897e-05  1.30176201e-05 -2.58559245e-06  8.76244600e+06       6.394e-06       5.287e-06         8762446
        9.08847  2.05015244e-05  1.92331656e-05 -1.65482911e-08  1.45843460e+07       5.543e-06       4.219e-06        14584346
       11.78296  1.20089197e-05  1.69034990e-05  1.07016130e-06  2.42434760e+07       4.918e-06       3.356e-06        24243476
       15.27630  1.92879508e-05  2.93755447e-06 -4.38910409e-07  4.01105360e+07       4.510e-06       2.665e-06        40110536
       19.80531  1.24246565e-05  2.57195536e-06 -5.48304835e-07  6.60944540e+07       4.208e-06       2.109e-06        66094454
       25.67706  6.95981958e-06  5.33852037e-06 -6.79025993e-07  1.07901488e+08       3.954e-06       1.667e-06       107901488
       33.28963  4.78436717e-06  4.67044018e-06 -5.91219640e-08  1.75176578e+08       3.999e-06       1.329e-06       175176578
       43.15912  1.99487810e-06  5.26375426e-06  1.20880777e-06  2.79940374e+08       4.641e-06       1.053e-06       279940374
       55.95465 -2.17310295e-08  2.74542959e-06  1.52242732e-07  4.45230168e+08       4.630e-06       7.585e-07       445230168
       72.54372 -1.08928225e-06  2.02086757e-06  2.82279643e-07  6.82186728e+08       4.993e-06       6.512e-07       682186728
       94.05101 -2.02361619e-06  2.61066004e-06 -2.31311114e-07  1.01695923e+09       7.729e-06       5.550e-07      1016959232
      121.93463 -6.00355515e-08  3.17510074e-06  1.54400437e-08  1.44987460e+09       9.114e-06       3.812e-07      1449874596
      158.08501 -1.25568080e-06  1.38323500e-06  5.38382812e-07  1.89145524e+09       1.085e-05       3.805e-07      1891455236
