# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.10262576e-04 -1.12589285e-05 -6.07723974e-06  2.37322000e+05       2.908e-05       2.887e-05          237322
        1.47620  1.05675299e-04  5.29707257e-06 -1.31500204e-05  3.97720000e+05       2.269e-05       2.240e-05          397720
        1.91386  6.69650146e-05  1.78107851e-06  7.52539855e-06  6.68522000e+05       1.777e-05       1.741e-05          668522
        2.48126  5.28017970e-05  2.96635108e-05  4.55750534e-06  1.11985200e+06       1.406e-05       1.360e-05         1119852
        3.21689  5.36297667e-05  6.34972689e-06  2.92263358e-06  1.87615800e+06       1.127e-05       1.068e-05         1876158
        4.17061  4.49247653e-05  4.87795956e-06  2.86829774e-06  3.14416800e+06       9.166e-06       8.435e-06         3144168
        5.40709  2.65889808e-05  1.19577245e-05 -3.37718616e-06  5.25172200e+06       7.621e-06       6.706e-06         5251722
        7.01015  2.39558744e-05  1.22213627e-05  2.11804991e-06  8.76891200e+06       6.468e-06       5.349e-06         8768912
        9.08847  1.78710549e-05  1.50727904e-05 -2.19720038e-06  1.46043620e+07       5.609e-06       4.267e-06        14604362
       11.78296  1.26351029e-05  1.06869422e-05  4.24130116e-07  2.42495660e+07       4.975e-06       3.394e-06        24249566
       15.27630  1.48390019e-05  6.95588301e-06  9.69928845e-08  4.01399720e+07       4.543e-06       2.690e-06        40139972
       19.80531  7.52911461e-06  3.44358539e-06 -7.48119822e-07  6.61623900e+07       4.248e-06       2.130e-06        66162390
       25.67706  6.60906260e-06  6.21174578e-06 -1.62479315e-07  1.08082748e+08       3.983e-06       1.680e-06       108082748
       33.28963  2.47290129e-06  6.22756499e-06  2.79368865e-07  1.75537368e+08       4.038e-06       1.342e-06       175537368
       43.15912  3.92111785e-06  4.50006312e-06  5.53361006e-07  2.80461652e+08       4.712e-06       1.067e-06       280461652
       55.95465  1.52729860e-06  4.54064091e-06  4.87277517e-07  4.45933852e+08       4.682e-06       7.682e-07       445933852
       72.54372  2.40270175e-06  3.00933721e-06  2.11034645e-07  6.83532258e+08       5.041e-06       6.590e-07       683532258
       94.05101  2.27115852e-06  1.02369702e-07 -4.11982392e-07  1.01875673e+09       7.816e-06       5.602e-07      1018756726
      121.93463 -1.04296947e-06  1.07256552e-06  1.84011345e-07  1.45105243e+09       9.217e-06       3.851e-07      1451052426
      158.08501 -1.02986994e-06  7.55387914e-07  8.66821760e-08  1.89075647e+09       1.095e-05       3.845e-07      1890756474
