# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.53502899e-04  1.98914426e-06 -7.54093498e-07  1.18025000e+05       2.930e-05       2.908e-05          118025
        1.47620  1.89399579e-04  3.00572793e-05 -1.54424751e-05  1.99866000e+05       2.275e-05       2.246e-05          199866
        1.91386  1.83533310e-04  1.91251199e-05  5.40895992e-06  3.34287000e+05       1.787e-05       1.750e-05          334287
        2.48126  1.43747716e-04  5.54407588e-05  7.89810735e-06  5.60524000e+05       1.414e-05       1.367e-05          560524
        3.21689  9.19175897e-05  4.33854015e-05 -8.45826965e-06  9.38549000e+05       1.133e-05       1.073e-05          938549
        4.17061  6.07813431e-05  4.56392165e-05 -2.78273741e-06  1.57191900e+06       9.222e-06       8.477e-06         1571919
        5.40709  6.45760091e-05  4.69843970e-05 -1.15294347e-06  2.62572500e+06       7.670e-06       6.740e-06         2625725
        7.01015  4.76418304e-05  3.09384089e-05  2.35299587e-06  4.38426900e+06       6.503e-06       5.370e-06         4384269
        9.08847  3.13361090e-05  1.99691352e-05 -2.98176072e-06  7.29581800e+06       5.646e-06       4.287e-06         7295818
       11.78296  2.72445825e-05  2.42373580e-05 -8.67001510e-07  1.21242060e+07       5.004e-06       3.412e-06        12124206
       15.27630  2.24798571e-05  1.82387352e-05 -1.69169524e-06  2.00791480e+07       4.589e-06       2.711e-06        20079148
       19.80531  2.12050759e-05  1.14706702e-05 -1.93420376e-07  3.30767930e+07       4.288e-06       2.144e-06        33076793
       25.67706  1.54953251e-05  1.41054353e-05 -1.69190857e-07  5.40016330e+07       4.019e-06       1.692e-06        54001633
       33.28963  1.16705912e-05  8.85593610e-06  5.93088543e-07  8.76019070e+07       4.056e-06       1.352e-06        87601907
       43.15912  6.40063767e-06  6.72877691e-06  1.04075772e-06  1.39985506e+08       4.728e-06       1.074e-06       139985506
       55.95465  3.19275904e-06  6.46548081e-06 -2.98242627e-07  2.22542394e+08       4.723e-06       7.736e-07       222542394
       72.54372  8.03281190e-07  6.51684034e-06  1.15618331e-07  3.40609109e+08       5.059e-06       6.594e-07       340609109
       94.05101 -1.57916577e-06  5.17109931e-06 -7.29504781e-07  5.07359736e+08       7.853e-06       5.656e-07       507359736
      121.93463 -2.44886845e-06  5.05007754e-06 -8.68568043e-07  7.22527129e+08       9.264e-06       3.877e-07       722527129
      158.08501 -4.41282505e-07  4.17245353e-06  2.64745026e-07  9.43887095e+08       1.105e-05       3.873e-07       943887095
