# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  3.19084842e-05 -7.48596177e-06  6.58716715e-07  1.18089000e+05       2.882e-05       2.859e-05          118089
        1.47620  6.00725201e-05  1.12060859e-05  1.64955292e-05  1.99534000e+05       2.239e-05       2.210e-05          199534
        1.91386  6.44755940e-05 -4.07548074e-05  1.21397601e-05  3.34522000e+05       1.755e-05       1.719e-05          334522
        2.48126  2.18014651e-05 -7.73829374e-06  6.61229748e-06  5.59939000e+05       1.390e-05       1.344e-05          559939
        3.21689  1.83414252e-05  7.24329179e-06 -4.95294574e-06  9.37653000e+05       1.112e-05       1.055e-05          937653
        4.17061  1.75228823e-05  8.19506081e-06  4.10825948e-06  1.57277700e+06       9.041e-06       8.323e-06         1572777
        5.40709  1.20356971e-05  9.45407678e-06  5.63614146e-06  2.62687300e+06       7.511e-06       6.618e-06         2626873
        7.01015  1.15977289e-05  5.59236259e-06 -1.98721363e-06  4.38801400e+06       6.377e-06       5.277e-06         4388014
        9.08847  1.18493184e-05  5.31148685e-06 -2.34402699e-06  7.30084700e+06       5.525e-06       4.211e-06         7300847
       11.78296  7.63472932e-06  8.18611887e-07 -2.07904175e-06  1.21264030e+07       4.913e-06       3.354e-06        12126403
       15.27630  1.13363125e-05  2.63875028e-06 -1.12946518e-06  2.00714680e+07       4.496e-06       2.659e-06        20071468
       19.80531  7.58131341e-06  5.55302124e-06 -3.61384153e-07  3.30909500e+07       4.211e-06       2.106e-06        33090950
       25.67706  7.07299167e-06  3.14684295e-06  5.82496837e-07  5.40744740e+07       3.950e-06       1.661e-06        54074474
       33.28963  5.75563593e-06  2.83590938e-06  2.54916723e-07  8.77953960e+07       3.987e-06       1.323e-06        87795396
       43.15912  4.47672526e-06  1.69291088e-06  1.54670784e-07  1.40281275e+08       4.650e-06       1.055e-06       140281275
       55.95465  1.48702246e-06  3.89471160e-07 -9.03282838e-08  2.22788149e+08       4.639e-06       7.600e-07       222788149
       72.54372  1.42910362e-06  8.07314978e-07  1.30749244e-07  3.40889890e+08       4.973e-06       6.521e-07       340889890
       94.05101 -9.95930071e-09  1.34998506e-06  4.28232697e-07  5.08196923e+08       7.715e-06       5.553e-07       508196923
      121.93463 -5.03153428e-07  1.67673867e-06  5.26231495e-08  7.24797696e+08       9.114e-06       3.809e-07       724797696
      158.08501 -1.01821039e-06  1.23112420e-06  2.52985265e-07  9.45414651e+08       1.079e-05       3.798e-07       945414651
