# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.28770793e-04  8.24639748e-05  3.20702031e-05  2.37182000e+05       2.907e-05       2.884e-05          237182
        1.47620  4.92502436e-05 -2.92962115e-06 -2.49916802e-06  3.99736000e+05       2.264e-05       2.233e-05          399736
        1.91386  5.76466942e-05 -1.79346593e-05  2.37979091e-06  6.67840000e+05       1.777e-05       1.740e-05          667840
        2.48126  4.04961939e-05  1.61500221e-05  1.54696534e-06  1.12079400e+06       1.406e-05       1.359e-05         1120794
        3.21689  5.16137078e-05  1.49768761e-05  2.83807294e-06  1.87759200e+06       1.126e-05       1.067e-05         1877592
        4.17061  4.72543200e-05  9.63981281e-06 -1.19628603e-06  3.13866200e+06       9.164e-06       8.429e-06         3138662
        5.40709  4.03465630e-05  7.15809357e-06  1.67427836e-06  5.24814600e+06       7.620e-06       6.699e-06         5248146
        7.01015  2.55250292e-05  1.25222346e-05 -4.59161187e-06  8.76472600e+06       6.470e-06       5.340e-06         8764726
        9.08847  2.44667993e-05  1.43511070e-05  9.88245946e-07  1.45872480e+07       5.599e-06       4.259e-06        14587248
       11.78296  1.31061444e-05  4.32469961e-06 -1.15429143e-06  2.42505420e+07       4.973e-06       3.392e-06        24250542
       15.27630  1.24229907e-05  7.15216369e-06 -1.48340699e-06  4.00867720e+07       4.550e-06       2.695e-06        40086772
       19.80531  9.50227231e-06  1.02876117e-05 -4.78461109e-07  6.60787820e+07       4.253e-06       2.131e-06        66078782
       25.67706  7.18410499e-06  4.42998633e-06  1.22319070e-06  1.07981694e+08       3.994e-06       1.682e-06       107981694
       33.28963  4.83175882e-06  5.32697305e-06  4.98296475e-07  1.75267326e+08       4.052e-06       1.340e-06       175267326
       43.15912  4.29237176e-06  4.35106359e-06 -2.86306161e-07  2.79994302e+08       4.714e-06       1.063e-06       279994302
       55.95465  1.79283738e-06  3.63300106e-06 -1.59517745e-07  4.44882602e+08       4.679e-06       7.676e-07       444882602
       72.54372  1.53173959e-06  2.90891771e-06 -3.23126440e-07  6.80964366e+08       5.048e-06       6.600e-07       680964366
       94.05101  4.63079999e-07  2.29521289e-06 -8.07995558e-07  1.01614364e+09       7.813e-06       5.625e-07      1016143642
      121.93463  9.77312908e-07  1.50291693e-06  4.40334669e-07  1.44779616e+09       9.201e-06       3.851e-07      1447796160
      158.08501 -1.23998336e-06 -2.16617545e-07  6.22847233e-07  1.88954779e+09       1.093e-05       3.840e-07      1889547790
