# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  9.70454841e-05 -2.09562287e-05  1.55523454e-05  2.37824000e+05       2.890e-05       2.867e-05          237824
        1.47620  1.22558979e-04 -5.35906449e-06 -1.56632704e-05  3.99146000e+05       2.250e-05       2.222e-05          399146
        1.91386  4.40711046e-05 -1.64643879e-05 -3.18468826e-07  6.67272000e+05       1.767e-05       1.731e-05          667272
        2.48126  3.90819873e-05  1.72004852e-05 -4.38856652e-06  1.12127400e+06       1.398e-05       1.351e-05         1121274
        3.21689  6.20321647e-05  1.32670124e-05 -5.46780865e-07  1.87942600e+06       1.118e-05       1.060e-05         1879426
        4.17061  3.12489532e-05  8.88724103e-06 -2.84889026e-06  3.14110400e+06       9.106e-06       8.379e-06         3141104
        5.40709  2.55985185e-05  2.67835763e-05  4.46111206e-06  5.25228200e+06       7.555e-06       6.654e-06         5252282
        7.01015  2.61067974e-05  5.91262857e-06 -2.05752102e-07  8.76329600e+06       6.413e-06       5.306e-06         8763296
        9.08847  1.11193582e-05  8.42422595e-06  9.22003990e-07  1.45982100e+07       5.544e-06       4.230e-06        14598210
       11.78296  1.33442425e-05  5.98439012e-06 -1.56661475e-06  2.42387360e+07       4.918e-06       3.366e-06        24238736
       15.27630  8.76936359e-06  4.95794437e-06  1.10568005e-06  4.00997060e+07       4.503e-06       2.672e-06        40099706
       19.80531  5.51508796e-06  3.99701795e-06  7.29795256e-07  6.60718880e+07       4.208e-06       2.116e-06        66071888
       25.67706  4.92892221e-06  4.95691098e-06  9.42254790e-08  1.07973138e+08       3.949e-06       1.672e-06       107973138
       33.28963  2.48463987e-06  4.68657427e-06 -1.86823130e-07  1.75235246e+08       4.000e-06       1.334e-06       175235246
       43.15912  9.09332984e-08  3.27232539e-06  1.03683596e-09  2.80042550e+08       4.667e-06       1.060e-06       280042550
       55.95465  1.24613041e-06  2.48611809e-06 -7.88606223e-08  4.45203888e+08       4.637e-06       7.621e-07       445203888
       72.54372  1.03604609e-06  2.39534240e-06  6.61071904e-07  6.81679856e+08       4.995e-06       6.561e-07       681679856
       94.05101  5.60974576e-07  2.41499529e-06  6.70572980e-07  1.01562918e+09       7.749e-06       5.580e-07      1015629184
      121.93463  5.80903800e-07  2.24644885e-06  2.76902906e-08  1.44704874e+09       9.165e-06       3.834e-07      1447048736
      158.08501 -1.55562540e-06  7.58756327e-07 -2.74001517e-07  1.88996885e+09       1.087e-05       3.827e-07      1889968854
