# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.67413283e-04  1.21657161e-05  9.23572869e-06  1.18987000e+05       2.938e-05       2.914e-05          118987
        1.47620  2.27457317e-04  7.65042188e-05  2.17773566e-06  1.99136000e+05       2.292e-05       2.262e-05          199136
        1.91386  1.79192770e-04  8.53924535e-05 -8.43650436e-06  3.35296000e+05       1.793e-05       1.756e-05          335296
        2.48126  1.52618773e-04  6.55383997e-05 -9.96368612e-06  5.61976000e+05       1.418e-05       1.372e-05          561976
        3.21689  1.20718890e-04  3.77332455e-05  3.10106580e-06  9.38587000e+05       1.139e-05       1.079e-05          938587
        4.17061  9.11564199e-05  3.83230431e-05  1.04002447e-06  1.57309800e+06       9.278e-06       8.523e-06         1573098
        5.40709  7.18879939e-05  2.89350634e-05  1.13508577e-06  2.62875600e+06       7.699e-06       6.768e-06         2628756
        7.01015  6.09797361e-05  2.49090188e-05 -1.54649750e-06  4.38727700e+06       6.531e-06       5.395e-06         4387277
        9.08847  4.28917255e-05  2.18563985e-05  2.03438382e-07  7.29749100e+06       5.655e-06       4.302e-06         7297491
       11.78296  3.15421654e-05  2.07133883e-05  6.87292534e-07  1.21245650e+07       5.017e-06       3.425e-06        12124565
       15.27630  3.28434618e-05  2.49498876e-05 -1.52817541e-06  2.00494840e+07       4.597e-06       2.718e-06        20049484
       19.80531  2.49285840e-05  1.69531796e-05  4.78253298e-08  3.30482320e+07       4.296e-06       2.149e-06        33048232
       25.67706  1.88734755e-05  1.05923023e-05  1.82941383e-06  5.39924010e+07       4.028e-06       1.697e-06        53992401
       33.28963  1.41568566e-05  7.44435980e-06 -5.96539276e-07  8.76520830e+07       4.074e-06       1.357e-06        87652083
       43.15912  1.13032027e-05  8.85257749e-06 -2.90098202e-07  1.40079503e+08       4.763e-06       1.078e-06       140079503
       55.95465  6.36224297e-06  7.06837687e-06 -6.76267298e-07  2.22883878e+08       4.740e-06       7.763e-07       222883878
       72.54372  2.25247357e-06  8.51824479e-06 -9.04443984e-08  3.41942813e+08       5.093e-06       6.652e-07       341942813
       94.05101  1.99912265e-06  5.30335613e-06  7.89413189e-07  5.10615470e+08       7.900e-06       5.666e-07       510615470
      121.93463 -3.80419327e-06  1.33478590e-06  2.51536198e-07  7.27576432e+08       9.327e-06       3.888e-07       727576432
      158.08501 -3.46580088e-06  4.77231319e-06 -4.73069220e-07  9.47448307e+08       1.114e-05       3.904e-07       947448307
