# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  4.35077515e-05  1.41879274e-05 -6.55158563e-06  2.37604000e+05       2.878e-05       2.857e-05          237604
        1.47620  9.00575221e-05  4.55523945e-05  7.74129239e-06  3.98730000e+05       2.244e-05       2.217e-05          398730
        1.91386  3.51851148e-05  3.72689338e-06  2.58382943e-06  6.66670000e+05       1.763e-05       1.727e-05          666670
        2.48126  4.75253178e-05  1.46859655e-05  4.39545490e-06  1.12086800e+06       1.392e-05       1.347e-05         1120868
        3.21689  4.50029918e-05  2.82413633e-06 -5.10276501e-06  1.87637200e+06       1.116e-05       1.058e-05         1876372
        4.17061  2.77582260e-05  1.54791324e-05 -1.86965146e-06  3.14207400e+06       9.089e-06       8.357e-06         3142074
        5.40709  1.80402225e-05  1.32185624e-05  1.25178832e-07  5.24852400e+06       7.556e-06       6.645e-06         5248524
        7.01015  2.08217906e-05  1.54246464e-05 -2.90985016e-06  8.75443600e+06       6.403e-06       5.297e-06         8754436
        9.08847  1.21159662e-05  5.50186547e-06  2.83802691e-06  1.45903680e+07       5.552e-06       4.224e-06        14590368
       11.78296  1.53300158e-05  8.82751600e-06  1.28722514e-07  2.42370020e+07       4.928e-06       3.358e-06        24237002
       15.27630  1.27320892e-05  5.32456108e-06  8.24525817e-07  4.01055360e+07       4.516e-06       2.667e-06        40105536
       19.80531  5.95554669e-06  6.56703245e-06  8.06605118e-07  6.61173580e+07       4.218e-06       2.110e-06        66117358
       25.67706  8.72284598e-06  3.25638151e-06  2.33984956e-07  1.08088638e+08       3.964e-06       1.668e-06       108088638
       33.28963  5.12182998e-06  5.69339950e-06 -7.01617326e-07  1.75478990e+08       4.014e-06       1.331e-06       175478990
       43.15912  4.87299831e-06  1.54427139e-06 -5.47533680e-07  2.80590196e+08       4.666e-06       1.054e-06       280590196
       55.95465  4.72736122e-06  1.99894699e-06 -6.04893477e-07  4.45691428e+08       4.641e-06       7.593e-07       445691428
       72.54372  5.73588263e-06  1.91739461e-06 -3.55218119e-07  6.81733068e+08       5.026e-06       6.545e-07       681733068
       94.05101  2.86565771e-06  7.72166985e-08  2.35615020e-07  1.01543319e+09       7.783e-06       5.576e-07      1015433186
      121.93463  1.62112877e-06  1.35501521e-07 -1.13876944e-07  1.44703052e+09       9.131e-06       3.824e-07      1447030522
      158.08501 -1.06215362e-06  4.92373515e-07 -3.85439857e-07  1.88968934e+09       1.085e-05       3.809e-07      1889689340
