# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  3.88410884e-04  6.64382473e-05  2.44227894e-05  1.18631000e+05       3.017e-05       2.993e-05          118631
        1.47620  3.33245865e-04  7.74532398e-05  6.35222610e-06  1.99484000e+05       2.349e-05       2.319e-05          199484
        1.91386  3.01807232e-04  1.20915859e-04  2.05631970e-05  3.34207000e+05       1.841e-05       1.804e-05          334207
        2.48126  2.41449438e-04  1.01222854e-04  8.77462682e-06  5.60559000e+05       1.457e-05       1.409e-05          560559
        3.21689  2.08471462e-04  9.89842792e-05 -8.09640727e-06  9.38628000e+05       1.168e-05       1.107e-05          938628
        4.17061  1.44486802e-04  4.99930429e-05  5.78254124e-06  1.57300200e+06       9.514e-06       8.744e-06         1573002
        5.40709  7.60393848e-05  6.37073577e-05 -7.28727394e-07  2.62568300e+06       7.911e-06       6.953e-06         2625683
        7.01015  6.87577225e-05  6.13696660e-05 -1.30075236e-06  4.38458900e+06       6.704e-06       5.540e-06         4384589
        9.08847  4.34351294e-05  4.76538271e-05 -3.72020207e-06  7.30638500e+06       5.800e-06       4.415e-06         7306385
       11.78296  4.08585579e-05  3.73816109e-05 -1.57439590e-06  1.21438820e+07       5.159e-06       3.515e-06        12143882
       15.27630  3.62167875e-05  3.46313345e-05  6.00076248e-07  2.00871850e+07       4.732e-06       2.794e-06        20087185
       19.80531  3.33615355e-05  2.15894704e-05  3.17723233e-07  3.31158350e+07       4.422e-06       2.209e-06        33115835
       25.67706  2.71918400e-05  1.40971103e-05 -5.23582277e-07  5.41577640e+07       4.157e-06       1.742e-06        54157764
       33.28963  1.66488894e-05  9.53156690e-06  1.24452316e-06  8.79218810e+07       4.200e-06       1.391e-06        87921881
       43.15912  9.01749153e-06  7.73452165e-06  8.24436384e-07  1.40533302e+08       4.900e-06       1.106e-06       140533302
       55.95465  6.91791954e-06  9.37990010e-06  1.19601009e-06  2.23221851e+08       4.878e-06       7.974e-07       223221851
       72.54372 -3.00771540e-06  4.84224530e-06 -3.04195975e-07  3.41688192e+08       5.277e-06       6.860e-07       341688192
       94.05101 -3.90630624e-06  7.22211443e-06  1.02790268e-06  5.09200323e+08       8.127e-06       5.815e-07       509200323
      121.93463 -1.12854557e-06  4.96603109e-06 -5.03160788e-07  7.25838479e+08       9.570e-06       3.999e-07       725838479
      158.08501 -2.15851596e-06  2.45596735e-06 -1.94798360e-07  9.45944405e+08       1.142e-05       3.998e-07       945944405
