# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  9.36997883e-05  1.62926266e-05  1.38920273e-05  2.37578000e+05       2.892e-05       2.868e-05          237578
        1.47620  1.16149040e-04  2.13860835e-05  1.15854908e-06  3.98956000e+05       2.252e-05       2.223e-05          398956
        1.91386  4.24143956e-05 -1.41020196e-05  8.34198785e-06  6.67278000e+05       1.768e-05       1.732e-05          667278
        2.48126  7.68849288e-05  2.21923409e-05 -7.08920012e-06  1.12058400e+06       1.398e-05       1.352e-05         1120584
        3.21689  4.08433250e-05  2.11050937e-06  1.40241611e-05  1.87705800e+06       1.120e-05       1.061e-05         1877058
        4.17061  3.97686251e-05  3.42230098e-05 -1.27765994e-06  3.14232800e+06       9.123e-06       8.385e-06         3142328
        5.40709  2.43220365e-05  7.54269961e-06  2.64346927e-06  5.25824800e+06       7.563e-06       6.653e-06         5258248
        7.01015  2.20374795e-05  1.70815990e-05 -5.03725528e-07  8.76809000e+06       6.414e-06       5.307e-06         8768090
        9.08847  1.59302242e-05  5.21004888e-06 -2.12007426e-06  1.46034380e+07       5.561e-06       4.232e-06        14603438
       11.78296  1.22118276e-05  7.09464635e-06 -2.64572991e-07  2.42431900e+07       4.933e-06       3.366e-06        24243190
       15.27630  1.29616570e-05  7.50398018e-06  9.41039020e-07  4.01289660e+07       4.515e-06       2.670e-06        40128966
       19.80531  8.36988738e-06  3.78405056e-06  1.51821114e-06  6.62036960e+07       4.227e-06       2.111e-06        66203696
       25.67706  6.61025228e-06  4.06856941e-06 -8.23384436e-07  1.08207306e+08       3.964e-06       1.668e-06       108207306
       33.28963  4.01122767e-06  3.00704546e-06 -3.85814758e-07  1.75839234e+08       4.021e-06       1.333e-06       175839234
       43.15912  5.67209639e-06  3.00498997e-06 -1.27439665e-06  2.81222164e+08       4.683e-06       1.057e-06       281222164
       55.95465  5.81296034e-06  2.63121796e-06 -2.47472809e-07  4.47174620e+08       4.671e-06       7.624e-07       447174620
       72.54372  3.42154267e-06  1.51904638e-06  3.58055039e-07  6.84508536e+08       5.041e-06       6.550e-07       684508536
       94.05101  2.72160857e-06  2.22963398e-06  7.42403116e-08  1.01906864e+09       7.764e-06       5.580e-07      1019068638
      121.93463 -6.74577590e-08  9.86408231e-07 -2.07248477e-08  1.45025390e+09       9.164e-06       3.832e-07      1450253902
      158.08501 -2.76979879e-06  2.32131265e-06  7.85740959e-07  1.89217632e+09       1.093e-05       3.831e-07      1892176322
