# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  6.24069903e-05  7.42862152e-06 -1.83662412e-05  1.18020000e+05       2.866e-05       2.844e-05          118020
        1.47620  4.08934842e-06 -1.86163715e-06 -1.11513751e-05  1.98533000e+05       2.232e-05       2.204e-05          198533
        1.91386  5.24731183e-05 -2.38825343e-05  1.09161620e-05  3.33588000e+05       1.748e-05       1.712e-05          333588
        2.48126  3.83045188e-05  1.17139829e-05  7.51898284e-06  5.60069000e+05       1.384e-05       1.337e-05          560069
        3.21689  1.90100793e-05  1.57094970e-05  2.80389957e-06  9.38722000e+05       1.108e-05       1.049e-05          938722
        4.17061  1.68130882e-05  1.45939963e-05 -8.86345254e-07  1.57104600e+06       9.020e-06       8.291e-06         1571046
        5.40709  1.72235228e-05  1.29844776e-05 -7.29122505e-07  2.62677600e+06       7.503e-06       6.593e-06         2626776
        7.01015  1.08664722e-05  9.39634844e-06  1.41283499e-07  4.38050400e+06       6.370e-06       5.259e-06         4380504
        9.08847  7.38046189e-06  3.81146378e-06  2.17631357e-06  7.29701300e+06       5.516e-06       4.192e-06         7297013
       11.78296  1.77033719e-05  7.43046238e-06  7.17997654e-07  1.21221220e+07       4.886e-06       3.333e-06        12122122
       15.27630  8.11471832e-06  4.48989267e-06 -1.66570274e-06  2.00600810e+07       4.477e-06       2.645e-06        20060081
       19.80531  4.39563167e-06  4.89890643e-06 -1.21735988e-06  3.30488050e+07       4.192e-06       2.094e-06        33048805
       25.67706  3.38773249e-06  2.19370116e-06  2.37713246e-07  5.40444580e+07       3.931e-06       1.653e-06        54044458
       33.28963  8.70726921e-07  4.40358034e-06  4.34941708e-07  8.77777110e+07       3.977e-06       1.320e-06        87777711
       43.15912  1.55493346e-06  3.01615710e-06 -4.60566835e-08  1.40197067e+08       4.639e-06       1.048e-06       140197067
       55.95465  2.92391013e-06  2.85893091e-06 -9.96225549e-08  2.22789189e+08       4.613e-06       7.556e-07       222789189
       72.54372  1.67132449e-06  1.39713162e-06  2.30020644e-07  3.40891603e+08       4.957e-06       6.491e-07       340891603
       94.05101  1.66561072e-06  1.67381516e-06  3.51525721e-07  5.07734138e+08       7.716e-06       5.539e-07       507734138
      121.93463  5.03363161e-07  9.03493595e-07  2.40885669e-07  7.23429130e+08       9.064e-06       3.785e-07       723429130
      158.08501  5.86815263e-07  7.52191350e-07 -7.22055227e-08  9.45157492e+08       1.085e-05       3.797e-07       945157492
