# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  7.29909033e-05  1.59030998e-07  5.08060025e-06  2.37842000e+05       2.878e-05       2.855e-05          237842
        1.47620  7.07376127e-05  3.15395178e-05 -1.02189454e-05  3.99300000e+05       2.243e-05       2.215e-05          399300
        1.91386  4.56165497e-05  1.86705260e-05  1.03748950e-05  6.68110000e+05       1.761e-05       1.725e-05          668110
        2.48126  7.06018277e-05  1.34675889e-05 -1.85956462e-06  1.12069800e+06       1.394e-05       1.347e-05         1120698
        3.21689  2.51453132e-05  1.24461282e-05 -9.26899456e-06  1.87990000e+06       1.116e-05       1.058e-05         1879900
        4.17061  2.75628992e-05  1.32856804e-05 -5.15913854e-06  3.14305400e+06       9.088e-06       8.355e-06         3143054
        5.40709  3.26532755e-05  4.83032686e-06  2.11391989e-06  5.25093800e+06       7.557e-06       6.642e-06         5250938
        7.01015  1.29482104e-05  1.65575437e-05  5.47711893e-07  8.77007800e+06       6.412e-06       5.296e-06         8770078
        9.08847  1.41312834e-05  5.50228386e-06  1.43009622e-06  1.45910400e+07       5.547e-06       4.222e-06        14591040
       11.78296  1.09212218e-05  1.18259285e-05 -3.70535980e-06  2.42475880e+07       4.921e-06       3.362e-06        24247588
       15.27630  5.07377306e-06  5.53182575e-06 -1.30123084e-06  4.01360360e+07       4.509e-06       2.669e-06        40136036
       19.80531  3.83408061e-06  6.79643922e-06 -2.43789021e-06  6.61738800e+07       4.210e-06       2.111e-06        66173880
       25.67706  5.33713080e-06  4.95148757e-06  1.26343586e-07  1.08159404e+08       3.958e-06       1.668e-06       108159404
       33.28963  3.84751099e-06  3.94012150e-06 -8.92587429e-08  1.75659566e+08       4.008e-06       1.330e-06       175659566
       43.15912  3.06261518e-07  3.68549629e-06  1.13882424e-07  2.80692970e+08       4.678e-06       1.054e-06       280692970
       55.95465 -4.49349342e-07  4.28434493e-06 -4.68429473e-07  4.45996448e+08       4.660e-06       7.612e-07       445996448
       72.54372 -8.66081354e-07  2.42199922e-06 -5.11715745e-07  6.82841126e+08       5.008e-06       6.532e-07       682841126
       94.05101  8.72170903e-07  4.51486423e-06 -1.01935311e-07  1.01780340e+09       7.703e-06       5.563e-07      1017803400
      121.93463  8.98909623e-07  1.32458218e-06 -5.84492272e-07  1.45069522e+09       9.123e-06       3.823e-07      1450695220
      158.08501 -1.09606492e-06 -1.01194667e-06 -2.34240000e-08  1.89234055e+09       1.081e-05       3.802e-07      1892340552
