# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.45376275e-04  1.46664411e-05 -2.00438958e-06  1.18248000e+05       2.935e-05       2.912e-05          118248
        1.47620  2.26592262e-04  1.08202930e-06  2.52090262e-05  1.98728000e+05       2.287e-05       2.258e-05          198728
        1.91386  1.59431494e-04  1.56234626e-05 -3.28454537e-06  3.34065000e+05       1.792e-05       1.755e-05          334065
        2.48126  1.50027557e-04  3.57885381e-05 -3.12838859e-07  5.60509000e+05       1.418e-05       1.370e-05          560509
        3.21689  9.42321593e-05  5.56010268e-05 -1.43014457e-06  9.41018000e+05       1.134e-05       1.075e-05          941018
        4.17061  9.63237042e-05  4.69971457e-05 -6.63528928e-07  1.57048600e+06       9.234e-06       8.495e-06         1570486
        5.40709  8.27561698e-05  4.89923838e-05  1.07525663e-06  2.62800000e+06       7.672e-06       6.750e-06         2628000
        7.01015  5.56076705e-05  2.79079342e-05  3.71455276e-06  4.38854200e+06       6.510e-06       5.381e-06         4388542
        9.08847  4.10012919e-05  2.93844116e-05 -2.60097244e-06  7.31284000e+06       5.643e-06       4.292e-06         7312840
       11.78296  2.66921780e-05  2.53776687e-05 -8.89971959e-07  1.21403620e+07       5.006e-06       3.415e-06        12140362
       15.27630  1.76190062e-05  2.08075356e-05  1.03775580e-08  2.01049940e+07       4.585e-06       2.711e-06        20104994
       19.80531  1.24750956e-05  1.83266832e-05 -8.67730257e-07  3.31185960e+07       4.300e-06       2.149e-06        33118596
       25.67706  9.67077509e-06  1.69155080e-05 -5.30311800e-07  5.41228700e+07       4.038e-06       1.697e-06        54122870
       33.28963  7.64024884e-06  1.20531226e-05  4.81438383e-07  8.78794650e+07       4.084e-06       1.353e-06        87879465
       43.15912  5.71232663e-06  7.46368078e-06  5.09476205e-07  1.40409979e+08       4.755e-06       1.076e-06       140409979
       55.95465  2.63315485e-06  6.98470794e-06 -5.99069603e-07  2.23163764e+08       4.733e-06       7.747e-07       223163764
       72.54372  1.90680705e-07  4.61361875e-06 -7.81159423e-08  3.41581868e+08       5.104e-06       6.654e-07       341581868
       94.05101  4.88493569e-07  4.74205592e-06  1.98747716e-07  5.09058868e+08       7.893e-06       5.674e-07       509058868
      121.93463 -1.39260640e-06  3.98538665e-06 -6.33088603e-07  7.25800824e+08       9.289e-06       3.880e-07       725800824
      158.08501 -3.06791201e-06  4.51284791e-06  1.85471641e-07  9.45958731e+08       1.103e-05       3.875e-07       945958731
