# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  2.03058955e-04  9.02312258e-05  9.58093214e-06  1.18579000e+05       2.933e-05       2.912e-05          118579
        1.47620  2.10633260e-04  2.62886784e-05  4.45481446e-07  1.99109000e+05       2.286e-05       2.258e-05          199109
        1.91386  1.15766505e-04  4.76831076e-05  1.40725545e-05  3.34486000e+05       1.791e-05       1.755e-05          334486
        2.48126  1.04566946e-04  1.30598785e-05 -1.24681520e-06  5.60861000e+05       1.418e-05       1.371e-05          560861
        3.21689  8.64670754e-05  3.76558793e-05  1.13873399e-06  9.38706000e+05       1.138e-05       1.078e-05          938706
        4.17061  5.90066658e-05  4.05981970e-05 -1.22171334e-06  1.57163600e+06       9.257e-06       8.511e-06         1571636
        5.40709  5.20276121e-05  3.64721891e-05 -7.79672832e-06  2.62768200e+06       7.698e-06       6.764e-06         2627682
        7.01015  3.10641613e-05  2.16030475e-05  4.17819695e-06  4.38745900e+06       6.526e-06       5.389e-06         4387459
        9.08847  2.69001668e-05  1.82893936e-05  8.34130072e-08  7.30325000e+06       5.654e-06       4.299e-06         7303250
       11.78296  2.01633021e-05  1.98989444e-05 -1.55948019e-06  1.21357580e+07       5.028e-06       3.424e-06        12135758
       15.27630  1.48332123e-05  1.98058043e-05  9.90576949e-07  2.00934000e+07       4.607e-06       2.718e-06        20093400
       19.80531  1.28045302e-05  1.25542333e-05 -6.37873397e-07  3.31259160e+07       4.304e-06       2.150e-06        33125916
       25.67706  1.15316261e-05  8.12342297e-06  1.57966697e-06  5.42094740e+07       4.039e-06       1.695e-06        54209474
       33.28963  1.03891838e-05  7.60459970e-06  1.41499210e-06  8.80474370e+07       4.084e-06       1.355e-06        88047437
       43.15912  5.68871412e-06  2.75200840e-06 -3.35913176e-07  1.40721153e+08       4.749e-06       1.073e-06       140721153
       55.95465  4.03279588e-06  4.58919204e-06  6.19930888e-08  2.23580881e+08       4.736e-06       7.745e-07       223580881
       72.54372  1.41215094e-06  3.10801843e-06 -2.23571162e-07  3.42172782e+08       5.088e-06       6.645e-07       342172782
       94.05101 -1.27848561e-06  4.06101499e-06  1.05254676e-06  5.10042141e+08       7.899e-06       5.661e-07       510042141
      121.93463 -3.50946936e-06  4.38194890e-06 -1.83398086e-07  7.26127887e+08       9.301e-06       3.891e-07       726127887
      158.08501 -2.88324309e-06  3.88537684e-06  3.65059469e-07  9.46412677e+08       1.104e-05       3.882e-07       946412677
