# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  9.39274621e-05 -1.63266312e-05  8.31572281e-06  2.38064000e+05       2.892e-05       2.870e-05          238064
        1.47620  5.42487870e-05  2.27999110e-05 -1.91241030e-06  3.97924000e+05       2.258e-05       2.231e-05          397924
        1.91386  5.99344466e-05  3.41416368e-05  1.05082914e-05  6.69278000e+05       1.769e-05       1.733e-05          669278
        2.48126  4.42952221e-05  5.91867497e-06 -2.05043310e-06  1.12008200e+06       1.402e-05       1.355e-05         1120082
        3.21689  4.99477798e-05  1.41895485e-05  1.67713560e-06  1.87965600e+06       1.123e-05       1.063e-05         1879656
        4.17061  2.55456297e-05  2.00866871e-05 -2.23916114e-06  3.14916000e+06       9.123e-06       8.391e-06         3149160
        5.40709  7.10342747e-06  1.09838857e-05  3.98779819e-06  5.25475000e+06       7.579e-06       6.671e-06         5254750
        7.01015  5.14578446e-06  1.33435889e-05  2.42932322e-06  8.76728400e+06       6.435e-06       5.319e-06         8767284
        9.08847  1.60893836e-05  7.38125328e-06 -2.06921749e-06  1.46015980e+07       5.576e-06       4.243e-06        14601598
       11.78296  3.40310441e-06  4.20028618e-06 -6.81576640e-07  2.42523440e+07       4.940e-06       3.376e-06        24252344
       15.27630  1.39017949e-06  6.78099186e-06  3.53845478e-07  4.01194000e+07       4.524e-06       2.681e-06        40119400
       19.80531 -3.02957282e-06  1.06280192e-05  1.01787255e-06  6.61529720e+07       4.233e-06       2.119e-06        66152972
       25.67706  2.47779509e-06  5.79017753e-06 -1.03057012e-07  1.08093546e+08       3.978e-06       1.675e-06       108093546
       33.28963  8.30936720e-07  2.00367001e-06  1.77351984e-07  1.75484880e+08       4.025e-06       1.337e-06       175484880
       43.15912  2.14343714e-06  1.25570461e-06  5.45590957e-08  2.80595482e+08       4.691e-06       1.060e-06       280595482
       55.95465  2.59031390e-07  7.06775326e-07 -2.52565145e-07  4.45827202e+08       4.672e-06       7.638e-07       445827202
       72.54372  2.06067312e-06  1.46944565e-06 -5.16024407e-08  6.82084076e+08       5.033e-06       6.566e-07       682084076
       94.05101  6.81514880e-07 -4.83190750e-07 -4.36744257e-08  1.01578282e+09       7.851e-06       5.603e-07      1015782818
      121.93463 -1.04752782e-06  6.60438502e-08 -1.35226301e-07  1.44635207e+09       9.174e-06       3.840e-07      1446352070
      158.08501 -4.10528623e-07  3.44046288e-07  2.80407872e-07  1.88871645e+09       1.096e-05       3.845e-07      1888716446
