# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  6.73234507e-05 -1.53056416e-05 -5.18105068e-06  1.18495000e+05       2.851e-05       2.829e-05          118495
        1.47620  2.22150896e-05  3.89161716e-05  3.62357626e-07  1.99522000e+05       2.220e-05       2.191e-05          199522
        1.91386  7.33336783e-05  3.02939315e-05  1.35582139e-05  3.33118000e+05       1.745e-05       1.709e-05          333118
        2.48126  1.07128277e-05  1.41664225e-05 -8.51984141e-06  5.60217000e+05       1.378e-05       1.332e-05          560217
        3.21689  2.78781201e-05  1.61542027e-05  1.57093371e-06  9.39000000e+05       1.104e-05       1.046e-05          939000
        4.17061  1.99043333e-05  2.52256366e-06  6.79794402e-07  1.56925500e+06       8.993e-06       8.270e-06         1569255
        5.40709  1.42317649e-05  1.37727063e-05  4.50425116e-07  2.62739500e+06       7.470e-06       6.568e-06         2627395
        7.01015  1.42605470e-05  9.63305987e-06 -7.26739307e-07  4.38202000e+06       6.336e-06       5.236e-06         4382020
        9.08847  1.96672831e-06 -5.23380206e-07  1.91698068e-06  7.30134700e+06       5.486e-06       4.173e-06         7301347
       11.78296  7.05030649e-06  3.31222224e-06 -1.59006702e-06  1.21275800e+07       4.868e-06       3.321e-06        12127580
       15.27630  1.00074162e-05  8.21058746e-06  2.29806861e-06  2.00591140e+07       4.468e-06       2.640e-06        20059114
       19.80531  3.33961195e-06 -1.68322091e-07 -2.64620006e-08  3.30687330e+07       4.174e-06       2.084e-06        33068733
       25.67706  3.61353772e-06  2.26239090e-06  5.76955783e-09  5.40429610e+07       3.915e-06       1.646e-06        54042961
       33.28963  1.98637599e-06  1.00650622e-06 -4.98925445e-07  8.77516780e+07       3.971e-06       1.317e-06        87751678
       43.15912  2.79268313e-07  2.38361494e-06  5.88447807e-09  1.40213401e+08       4.629e-06       1.045e-06       140213401
       55.95465  4.66035886e-07  1.37452091e-06  3.78298370e-07  2.22974957e+08       4.593e-06       7.517e-07       222974957
       72.54372  1.28847175e-07  2.62636200e-06 -3.78368600e-07  3.41629780e+08       4.937e-06       6.453e-07       341629780
       94.05101  3.31837761e-07  8.99466454e-07  2.63258963e-07  5.09261431e+08       7.650e-06       5.479e-07       509261431
      121.93463  7.90415993e-07  8.42536360e-07  4.27594273e-07  7.25284873e+08       9.029e-06       3.776e-07       725284873
      158.08501 -6.09259562e-07 -8.13212029e-07 -1.94124282e-07  9.46097153e+08       1.073e-05       3.769e-07       946097153
