# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.64762690e-04  6.52940163e-05 -5.78251658e-06  1.18558000e+05       2.920e-05       2.897e-05          118558
        1.47620  1.54486371e-04  2.38685613e-05  6.44783776e-06  2.00108000e+05       2.270e-05       2.241e-05          200108
        1.91386  1.10331042e-04  4.43241470e-05 -1.40719837e-05  3.33873000e+05       1.785e-05       1.748e-05          333873
        2.48126  1.05177141e-04  4.37280469e-05  1.05418812e-05  5.59588000e+05       1.410e-05       1.364e-05          559588
        3.21689  8.82777392e-05  4.22374874e-05  4.05780752e-06  9.37739000e+05       1.130e-05       1.071e-05          937739
        4.17061  6.76251855e-05  5.31422195e-05 -3.50371890e-06  1.57002100e+06       9.207e-06       8.466e-06         1570021
        5.40709  7.56475615e-05  1.93585344e-05  1.96202729e-06  2.62663900e+06       7.644e-06       6.722e-06         2626639
        7.01015  3.49502530e-05  2.59612543e-05 -3.06028366e-07  4.38505700e+06       6.483e-06       5.358e-06         4385057
        9.08847  2.99261537e-05  2.11389503e-05  1.42899963e-06  7.31493400e+06       5.608e-06       4.266e-06         7314934
       11.78296  2.26048526e-05  2.47835158e-05  4.05269457e-07  1.21455540e+07       4.975e-06       3.396e-06        12145554
       15.27630  2.05375114e-05  1.45877691e-05 -2.00925389e-08  2.00839090e+07       4.557e-06       2.701e-06        20083909
       19.80531  1.30259459e-05  1.09200190e-05  8.11209310e-07  3.31168110e+07       4.268e-06       2.137e-06        33116811
       25.67706  9.89081615e-06  9.72503433e-06  1.15008902e-06  5.41460800e+07       3.999e-06       1.687e-06        54146080
       33.28963  6.84561907e-06  8.87212857e-06  1.35878990e-07  8.79026860e+07       4.037e-06       1.344e-06        87902686
       43.15912  3.82920789e-06  6.01494158e-06 -1.12273674e-06  1.40414307e+08       4.715e-06       1.069e-06       140414307
       55.95465  5.51261973e-06  4.90205704e-06 -1.68980599e-07  2.23208916e+08       4.704e-06       7.692e-07       223208916
       72.54372  1.59657244e-06  6.94948189e-07  3.22112071e-07  3.41784559e+08       5.067e-06       6.618e-07       341784559
       94.05101 -8.74779592e-09  2.06463384e-06  2.79867363e-07  5.09027120e+08       7.851e-06       5.643e-07       509027120
      121.93463 -3.23415083e-06  1.91551913e-06  6.83225997e-08  7.24718242e+08       9.249e-06       3.870e-07       724718242
      158.08501 -4.92788912e-06  3.54441727e-06 -5.55155632e-07  9.45603106e+08       1.095e-05       3.857e-07       945603106
