# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  6.59896357e-05  4.00455625e-06 -1.67184038e-05  1.18190000e+05       2.846e-05       2.824e-05          118190
        1.47620  4.68407246e-05  1.03236018e-05 -1.30785863e-06  1.98742000e+05       2.218e-05       2.189e-05          198742
        1.91386  6.45438388e-05  5.47930833e-06  8.21218976e-06  3.34032000e+05       1.738e-05       1.701e-05          334032
        2.48126  5.27998686e-05  4.80165208e-06  1.46214959e-06  5.60717000e+05       1.374e-05       1.328e-05          560717
        3.21689  4.18446209e-05  2.39602706e-06 -3.59264283e-09  9.37705000e+05       1.102e-05       1.044e-05          937705
        4.17061  3.01373271e-05  7.00511416e-06 -3.85998944e-06  1.56965600e+06       8.968e-06       8.243e-06         1569656
        5.40709  2.51750871e-05  4.70180605e-06  3.94212772e-07  2.62418400e+06       7.445e-06       6.548e-06         2624184
        7.01015  1.43590177e-05  3.16421042e-06 -5.50090415e-06  4.37742600e+06       6.327e-06       5.224e-06         4377426
        9.08847  1.70128453e-05  6.86646799e-06 -1.06019148e-06  7.29521000e+06       5.480e-06       4.165e-06         7295210
       11.78296  1.06624070e-05  3.00949023e-06 -1.58521564e-06  1.21300750e+07       4.863e-06       3.309e-06        12130075
       15.27630  1.04752942e-05  4.41128479e-06  2.61689179e-07  2.00604410e+07       4.460e-06       2.629e-06        20060441
       19.80531  5.35892602e-06  5.01033193e-06 -8.77252277e-07  3.30655310e+07       4.169e-06       2.082e-06        33065531
       25.67706  3.36058943e-06  4.28973905e-06  1.05580191e-06  5.40392700e+07       3.920e-06       1.640e-06        54039270
       33.28963  3.49174674e-06  4.49083333e-06  7.00974035e-07  8.76790700e+07       3.961e-06       1.309e-06        87679070
       43.15912  2.14788290e-06  2.53408666e-06 -2.98908930e-07  1.40024322e+08       4.621e-06       1.041e-06       140024322
       55.95465  1.73361981e-06  2.61048947e-06  4.67087884e-08  2.22473779e+08       4.587e-06       7.513e-07       222473779
       72.54372  2.20852436e-06  1.23776993e-06 -2.35894774e-07  3.40479479e+08       4.949e-06       6.452e-07       340479479
       94.05101 -1.23752066e-07  1.25183484e-06 -5.62616360e-07  5.07301154e+08       7.637e-06       5.472e-07       507301154
      121.93463 -2.14581824e-06  3.07349301e-06  7.43978761e-08  7.22714107e+08       9.007e-06       3.771e-07       722714107
      158.08501 -1.57413772e-06  2.13004455e-06 -3.44340079e-07  9.44298680e+08       1.069e-05       3.762e-07       944298680
