# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.97478751e-04 -4.09781450e-05 -2.86527017e-05  1.18848000e+05       2.916e-05       2.894e-05          118848
        1.47620  2.01257675e-04  3.38244536e-05 -1.35951026e-06  1.99208000e+05       2.273e-05       2.246e-05          199208
        1.91386  1.54731312e-04  1.22038931e-05 -5.46024146e-06  3.34100000e+05       1.783e-05       1.748e-05          334100
        2.48126  1.09766647e-04  4.81645437e-05 -2.09727888e-07  5.58409000e+05       1.415e-05       1.368e-05          558409
        3.21689  9.45196197e-05  4.81551955e-05 -1.23636745e-07  9.40121000e+05       1.132e-05       1.072e-05          940121
        4.17061  6.16246432e-05  2.26884617e-05  8.57408442e-07  1.57001900e+06       9.211e-06       8.470e-06         1570019
        5.40709  5.21977654e-05  2.69686038e-05  1.57327873e-06  2.62773500e+06       7.646e-06       6.723e-06         2627735
        7.01015  4.26156751e-05  1.97848345e-05 -1.51644734e-06  4.37981900e+06       6.483e-06       5.360e-06         4379819
        9.08847  2.83611193e-05  1.94645071e-05  4.81370495e-07  7.28541800e+06       5.611e-06       4.274e-06         7285418
       11.78296  2.29921107e-05  1.84638670e-05  1.20118603e-06  1.20981270e+07       4.982e-06       3.403e-06        12098127
       15.27630  2.03389445e-05  1.59996422e-05  7.97066724e-07  2.00188510e+07       4.562e-06       2.703e-06        20018851
       19.80531  1.46245127e-05  1.26918571e-05  1.25219767e-06  3.29901100e+07       4.261e-06       2.139e-06        32990110
       25.67706  6.03942622e-06  6.78910841e-06 -3.59614664e-07  5.39021240e+07       4.004e-06       1.692e-06        53902124
       33.28963  3.07694531e-06  1.00978471e-05 -6.25158033e-07  8.75242840e+07       4.051e-06       1.349e-06        87524284
       43.15912  3.19985252e-06  8.85063448e-06  2.98864237e-07  1.39860046e+08       4.732e-06       1.070e-06       139860046
       55.95465  5.62780262e-07  5.98268957e-06 -1.02476652e-06  2.22369028e+08       4.699e-06       7.714e-07       222369028
       72.54372  2.16792819e-06  6.02758023e-06 -3.32228806e-07  3.40109702e+08       5.064e-06       6.636e-07       340109702
       94.05101  4.98666784e-07  3.77690440e-06  4.66502134e-07  5.07398671e+08       7.820e-06       5.643e-07       507398671
      121.93463  1.50062175e-06  3.38696279e-06  3.34464942e-07  7.22145380e+08       9.256e-06       3.878e-07       722145380
      158.08501 -8.52097518e-07  9.10467871e-07  4.21523281e-07  9.43579499e+08       1.098e-05       3.866e-07       943579499
